wd_id,line_id,linewd,word,lex_id,syntag,syntag2,lemma,syllabified,ref
217,35,6,traire,traire,Vinf,Vinf,traire,'C/V\.C/(e)\,"MirNDPers, Miracle de la nonne, v. 35"
218,35,7,",",",",Pnc,Pnc,",",,"MirNDPers, Miracle de la nonne, v. 35"
219,36,1,car,car,Crd,Crd,car,C/V\,"MirNDPers, Miracle de la nonne, v. 36"
220,36,2,devers,devers,PrA,PrA,devers,C/V\.'C/V\,"MirNDPers, Miracle de la nonne, v. 36"
221,36,3,l',l',Det,Det,le,C/\,"MirNDPers, Miracle de la nonne, v. 36"
222,36,4,abbesse,abbesse,N,N,abbesse,/V\.'C/V\.C/(e)\,"MirNDPers, Miracle de la nonne, v. 36"
223,36,5,ay,ay,Vfin,Vfin,avoir,/V\,"MirNDPers, Miracle de la nonne, v. 36"
224,36,6,a,a,Pre,Pre,à,/V\,"MirNDPers, Miracle de la nonne, v. 36"
225,36,7,faire,faire,Vinf,Vinf,faire,'C/V\.C/(e)\,"MirNDPers, Miracle de la nonne, v. 36"
226,36,8,",",",",Pnc,Pnc,",",,"MirNDPers, Miracle de la nonne, v. 36"
227,37,1,qui,qui,Qux,Qux,qui,C/V\,"MirNDPers, Miracle de la nonne, v. 37"
228,37,2,est,est,Vfin,Vfin,être,/V\,"MirNDPers, Miracle de la nonne, v. 37"
229,37,3,m',m',Det,Det,mon,C/\,"MirNDPers, Miracle de la nonne, v. 37"
230,37,4,antin,antin,N,N,ante,/V\.'C/V\,"MirNDPers, Miracle de la nonne, v. 37"
231,37,5,.,.,Pnc,Pnc,.,,"MirNDPers, Miracle de la nonne, v. 37"
232,38,1,sire,sire,N,N,sire,'C/V\.C/(e)\,"MirNDPers, Miracle de la nonne, v. 38"
233,38,2,",",",",Pnc,Pnc,",",,"MirNDPers, Miracle de la nonne, v. 38"
234,38,3,je,je,Prn,Prn$,je,C/(e)\,"MirNDPers, Miracle de la nonne, v. 38"
235,38,4,croy,croy,Vfin,Vfin,croire,C/V\,"MirNDPers, Miracle de la nonne, v. 38"
236,38,5,miex,miex,Adv,Adv,mieux,C/V\,"MirNDPers, Miracle de la nonne, v. 38"
237,38,6,pour,pour,Pre,Pre,pour,C/V\,"MirNDPers, Miracle de la nonne, v. 38"
238,38,7,certain,certain,Adj,Adj,certain,C/V\.'C/V\,"MirNDPers, Miracle de la nonne, v. 38"
239,39,1,que,que,Sub,Sub,que,C/(e)\,"MirNDPers, Miracle de la nonne, v. 39"
240,39,2,l',l',Det,Det,le,C/\,"MirNDPers, Miracle de la nonne, v. 39"
241,39,3,amour,amour,N,N,amour,/V\.'C/V\,"MirNDPers, Miracle de la nonne, v. 39"
242,39,4,de,de,Pre,Pre,de,C/(e)\,"MirNDPers, Miracle de la nonne, v. 39"
243,39,5,la,la,Det,Det,le,C/V\,"MirNDPers, Miracle de la nonne, v. 39"
244,39,6,nonne,nonne,N,N,nonne,'C/V\.C/(e)\,"MirNDPers, Miracle de la nonne, v. 39"
245,39,7,belle,belle,Adj,Adj,beau,'C/V\.C/(e)\,"MirNDPers, Miracle de la nonne, v. 39"
246,39,8,",",",",Pnc,Pnc,",",,"MirNDPers, Miracle de la nonne, v. 39"
247,40,1,qui,qui,Qux,Qux,qui,C/V\,"MirNDPers, Miracle de la nonne, v. 40"
248,40,2,tant,tant,QIs,QIs,tant,C/V\,"MirNDPers, Miracle de la nonne, v. 40"
249,40,3,sainte,sainte,Adj,Adj,saint,'C/V\.C/(e)\,"MirNDPers, Miracle de la nonne, v. 40"
250,40,4,damoiselle,damoiselle,N,N,damoiselle,C/V\.C/V\.'C/V\.C/(e)\,"MirNDPers, Miracle de la nonne, v. 40"
251,40,5,",",",",Pnc,Pnc,",",,"MirNDPers, Miracle de la nonne, v. 40"
252,41,1,laiens,laiens,Adv,Adv,léans,C/V\.'C/V\,"MirNDPers, Miracle de la nonne, v. 41"
253,41,2,vous,vous,Prn,Prn$$,vous,C/V\,"MirNDPers, Miracle de la nonne, v. 41"
254,41,3,maine,maine,Vfin,Vfin,mener,'C/V\.C/(e)\,"MirNDPers, Miracle de la nonne, v. 41"
