wd_id,word,lex_id,para_id,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score
1890,en,en,10,Prn,Prn$,on,/V\,PRON,on,10
1891,tenoit,tenoit,10,Vfin,Vfin,tenir,C/V\.'C/V\,VERB,tenir,10
1892,a,a,10,Pre,Pre,à,/V\,ADP,à,10
1893,non,non,10,Neg,Neg,ne,C/V\,ADV,ne,10
1894,sachant,sachant,10,Vprs,Vprs,savoir,C/V\.'C/V\,VERB,savoir,10
1895,et,et,10,Crd,Crd,et,/V\,CCONJ,et,10
1896,pour,pour,10,Pre,Pre,pour,C/V\,ADP,pour,10
1897,fol,fol,10,Adj,Adj,fou,C/V\,ADJ,fou,10
1898,.,.,10,Pnc,Pnc,,,PUNCT,.,9
1899,Et,et,10,Crd,Crd,et,/V\,CCONJ,et,10
1900,quant,quant,10,Sub,Sub,quand,C/V\,SCONJ,quand,10
1901,l',l',10,Det,Det,le,C/\,DET,le,10
1902,enfant,enfant,10,N,N,,/V\.'C/V\,NOUN,enfant,3
1903,vint,vint,10,Vfin,Vfin,venir,C/V\,VERB,venir,10
1904,en,en,10,Pre,Pre,en,/V\,ADP,en,10
1905,aage,aage,10,N,N,,/(V)\.'/V\,NOUN,âge,3
1906,qu',qu',10,Sub,Sub,que,C/\,SCONJ,que,10
1907,il,il,10,Prn,Prn$,il,/V\,PRON,il,10
1908,pot,pot,10,Vfin,Vfin,pouvoir2,C/V\,VERB,pouvoir,10
1909,estre,estre,10,Vinf,Vinf,être,'/V\.C/(e)\,VERB,être,10
1910,sanz,sanz,10,Pre,Pre,sans,C/V\,ADP,sans,10
1911,aletier,aletier,10,Vinf,Vinf,,/V\.C/V\.'C/V\,VERB,alleter,-10
1912,et,et,10,Crd,Crd,et,/V\,CCONJ,et,10
1913,qu',qu',10,Sub,Sub,que,C/\,SCONJ,que,10
1914,il,il,10,Prn,Prn$,il,/V\,PRON,il,10
1915,pouoit,pouoit,10,Vfin,Vfin,pouvoir2,C/V\.'C/V\,VERB,pouvoir,10
1916,aler,aler,10,Vinf,Vinf,aller,/V\.'C/V\,VERB,aller,10
1917,et,et,10,Crd,Crd,et,/V\,CCONJ,et,10
1918,parler,parler,10,Vinf,Vinf,parler,C/V\.'C/V\,VERB,parler,10
1919,",",",",10,Pnc,Pnc,,,PUNCT,",",9
1920,il,il,10,Prn,Prn$,il,/V\,PRON,il,10
1921,n',n',10,Neg,Neg$$,ne,C/\,ADV,ne,10
1922,estoit,estoit,10,Vfin,Vfin,être,/V\.'C/V\,VERB,être,10
1923,riens,riens,10,N,N,rien,C/V\,PROPN|NOUN,rien,10
1924,qu',qu',10,Qux,Qux,que,C/\,PRON,que,10
1925,il,il,10,Prn,Prn$,il,/V\,PRON,il,10
1926,voulsist,voulsist,10,Vfin,Vfin,vouloir,C/V\.'C/V\,VERB,vouloir,10
1927,faire,faire,10,Vinf,Vinf,faire,'C/V\.C/(e)\,VERB,faire,10
1928,",",",",10,Pnc,Pnc,,,PUNCT,",",9
