wd_id,line_id,linewd,word,lex_id,pos_nca,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score,Vorschlag_IR,Erklärung_IR
1756,275,3,feroies,feroies,VER:cond:2:sg,284,Vfin,Vfin,faire,C/V\.'C/V\./e\,VERB,faire,10,,
1757,275,4,contre,contre,PRE,284,PrA,PrA,contre3,'C/V\.C/(e)\,ADP,contre,10,,
1758,275,5,moi,moi,PRO:pers:obj:1:sg:bet,284,Prn,Prn,moi,C/V\,PRON,moi,10,,
1759,275,6,.,.,PON,284,Pnc,Pnc,,,PUNCT,.,9,,
1760,276,1,je,je,PRO:pers:suj:1:sg:unb,285,Prn,Prn$,je,C/(e)\,PRON,je,10,,
1761,276,2,ferai,ferai,VER:futu:1:sg,285,Vfin,Vfin,faire,C/V\.'C/V\,VERB,faire,10,,
1762,276,3,ce,ce,PRO:invar,285,Prn,Prn,ce,C/(e)\,PRON,ce,10,,
1763,276,4,que,que,PROCON,285,Qux,Qux,que,C/(e)\,PRON,que,10,,
1764,276,5,fere,fere,VER:infi,285,Vinf,Vinf,faire,'C/V\.C/(e)\,VERB,faire,10,,
1765,276,6,doi,doi,VER:pres:1:sg,285,Vfin,Vfin,devoir2,C/V\,VERB,devoir,10,,
1766,276,7,.,.,PON,285,Pnc,Pnc,,,PUNCT,.,9,,
1767,277,1,bien,bien,ADV,286,Adv,Adv,bien,C/V\,ADV,bien,10,,
1768,277,2,est,est,VER:pres:3:sg,286,Vfin,Vfin,être,/V\,VERB,être,10,,
1769,277,3,droiz,droiz,NOM:suj:masc:sg,286,Adj,Adj,droit2,C/V\,ADJ,droit,10,,
1770,277,4,vostre,vostre,DET:poss:obj:masc:sg,286,Det,Det,votre,'C/V\.C/(e)\,DET,votre,10,,
1771,277,5,plesir,plesir,NOM:obj:masc:sg,286,N,N,,C/V\.'C/V\,NOUN,plaisir,8,,
1772,277,6,face,face,VER:subp:1:sg,286,Vfin,Vfin,faire,'C/V\.C/(e)\,VERB,faire,10,,
1773,278,1,puisque,puisque,CON:subord,287,Sub,Sub,puisque,'C/V\.C/(e)\,SCONJ,puisque,10,,
1774,278,2,j,j,PRO:pers:suj:1:sg:unb,287,Prn,Prn$,je,C/\,PRON,je,10,,
1775,278,3,en,en,PRO:clit,287,Prn,Prn$$,en2,/V\,PRON,en,10,,
1776,278,4,doi,doi,VER:pres:1:sg,287,Vfin,Vfin,devoir2,C/V\,VERB,devoir,10,,
1777,278,5,ravoir,ravoir,VER:infi,287,Vinf,Vinf,ravoir,C/V\.'C/V\,VERB,ravoir,10,,
1778,278,6,ma,ma,DET:poss:obj:femi:sg,287,Det,Det,mon,C/V\,DET,mon,10,,
1779,278,7,grace,grace,NOM:obj:femi:sg,287,N,N,,'C/V\.C/(e)\,NOUN,grâce,8,,
1780,278,8,.,.,PON,287,Pnc,Pnc,,,PUNCT,.,9,,
1781,279,1,or,or,ADV,288,Adv,Adv,or2,/V\,ADV,or,10,,
1782,279,2,tost,tost,ADV,288,Adv,Adv,tôt,C/V\,ADV,tôt,10,,
1783,279,3,!,!,PON,288,Pnc,Pnc,,,PUNCT,!,9,,
