wd_id,line_id,linewd,word,lex_id,tag,old_wd_id,para_id,syntag,syntag2,lemma,lemma_auto,NCA_src,boundary,synfunc,NCA_taggerpos,NCA_sent,syllabified
271,43,3,donna,donna,VER:simp:3:sg,1318,30,Vfin,Vfin,donner,doner,*+CM,"[('SubVfin', ''), ('Vfin', ''), ('NGrp', 'c')]",,VER,81,C/V\.'C/V\
272,43,4,la,la,DET:def:obj:femi:sg,1319,30,Det,Det,le,le,CST,"[('NGrp', 'c'), ('Det', ''), ('N', '')]",,DET:def,81,C/V\
273,43,5,connestablie,connestablie,NOM:obj:femi:sg,1320,30,N,N,,conestablie,*+T,"[('NGrp', 'c'), ('N', ''), ('PreN', '')]",,NOM,81,C/V\.C/V\.C/V\.'C/V\./(e)\
274,44,1,a,a,PRE,1323,30,Pre,Pre,à,a3|a,+T|CGIS,"[('PreN', ''), ('Pre', ''), ('NGrp', '')]",,PRE,81,/V\
275,44,2,mon,mon,DET:poss:obj:masc:sg,1324,30,Det,Det,mon1,mon1|mon,S|C,"[('NGrp', ''), ('Det', ''), ('N', '')]",,DET:poss,81,C/V\
276,44,3,seigneur,seigneur,NOM:obj:masc:sg,1325,30,N,N,,seignor,+CI,"[('PreN', ''), ('NGrp', ''), ('NGrp', '')]",,NOM,81,C/V\.'C/V\
277,44,4,gilles,gilles,NPR:obj:masc:sg,1326,30,N,N,,gile,*Z,"[('NGrp', ''), ('N', ''), ('DetAdj', '')]",,NPR,81,'C/V\.C/e\
278,44,5,le,le,DET:def:obj:masc:sg,1327,30,Det,Det,le,le,CST,"[('DetAdj', ''), ('Det', ''), ('Adj', '')]",,DET:def,81,C/(e)\
279,44,6,brun,brun,ADJ:obj:masc:sg,1328,30,Adj,Adj,,brun,+IT,"[('PreN', ''), ('NGrp', ''), ('SubVfin', '')]",,ADJ,81,C/V\
280,45,1,et,et,CON:coord,1353,30,Crd,Crd,et,et,ST,"[('VfinGrp', ''), ('Crd', ''), ('Prn', 's')]",,CON:coord,82,/V\
281,45,2,je,je,PRO:pers:suj:1:sg:unb,1354,30,Prn,Prn$,1ps,je,CIST,"[('VfinGrp', ''), ('Prn', 's'), ('Vfin', '')]",s,PRO:pers,82,C/(e)\
282,45,3,croy,croy,VER:pres:1:sg,1355,30,Vfin,Vfin,croire,croire,+M,"[('VfinGrp', ''), ('Vfin', ''), ('Adv', '')]",,VER,82,C/V\
283,45,4,vraiement,vraiement,ADV,1356,30,Adv,Adv,,veraiement,Z,"[('VfinGrp', ''), ('Adv', ''), ('SubVfin', 'c')]",,ADV,82,C/V\.C/(V)\.'/V\
284,45,5,que,que,PROCON,1357,30,Sub,Sub,que,que2|que3|que,T|S|C,"[('SubVfin', 'c'), ('Sub', ''), ('Adj', 'a')]",,PROCON,82,C/(e)\
285,45,6,tel,tel,ADJ:suj:masc:sg,1358,30,Adj,Adj,tel,tel,+CIT,"[('SubVfin', 'c'), ('Adj', 'a'), ('Vfin', '')]",a,ADJ,82,C/V\
286,46,1,preudomme,preudomme,NOM:suj:masc:sg,1376,31,N,N,,pro,*I,"[('VfinGrp', ''), ('PreN', ''), ('Prn', 's')]",a,NOM,83,C/V\.'C/V\.C/(e)\
287,46,2,",",",",PON,1377,31,Pnc,Pnc,,",",,,,PON,83,
288,46,3,il,il,PRO:pers:suj:3:masc:sg:unb,1378,31,Prn,Prn$,3p,il,CIST,"[('VfinGrp', ''), ('Prn', 's'), ('Prn', 'c')]",s,PRO:pers,83,/V\
289,46,4,le,le,PRO:pers:obj:3:masc:sg:unb,1379,31,Prn,Prn$$,3p,il,CIST,"[('VfinGrp', ''), ('Prn', 'c'), ('Vfin', '')]",c,PRO:pers,83,C/(e)\
290,46,5,faisoit,faisoit,VER:impf:3:sg,1380,31,Vfin,Vfin,faire,faire,+CM,"[('VfinGrp', ''), ('Vfin', ''), ('VinfGrp', 'c')]",,VER,83,C/V\.'C/V\
291,46,6,manger,manger,VER:infi,1381,31,Vinf,Vinf,manger,mangier,+I,"[('VinfGrp', 'c'), ('Vinf', ''), ('PreN', '')]",,VER,83,C/V\.'C/V\
292,47,1,cuident,cuident,VER:pres:3:pl,1420,31,Vfin,Vfin,cuider,cuider|cuidier,M|MI,"[('VfinGrp', ''), ('Vfin', ''), ('SubVfin', 'c')]",,VER,85,'C/V\.C/e\
293,47,2,que,que,PROCON,1421,31,Sub,Sub,que,que2|que3|que,T|S|C,"[('SubVfin', 'c'), ('Sub', ''), ('Prn', 's')]",,PROCON,85,C/(e)\
294,47,3,vous,vous,PRO:pers:2:pl,1422,31,Prn,Prn$,2pp,ous2|vos1,T|S,"[('SubVfin', 'c'), ('Prn', 's'), ('Vfin', '')]",s,PRO:pers,85,C/V\
295,47,4,mesdisiés,mesdisiés,VER:subp:2:pl,1423,31,Vfin,Vfin,médire,UNKNOWN,,"[('SubVfin', 'c'), ('Vfin', ''), ('PrePrn', '')]",,VER,85,C/V\.C/V\.'C/V\
296,47,5,d,d',PRE,1424,31,Pre,Pre,de,de,+CS,"[('PrePrn', ''), ('Pre', ''), ('Prn', '')]",,PRE,85,C/\
297,47,6,eulz,eulz,PRO:pers:acc:3:masc:pl:bet,1425,31,Prn,Prn,3p,il,S,#,,PRO:pers,85,/V\
298,48,1,de,de,PRE,1432,31,Pre,Pre,de,de,+CIST,"[('PreN', ''), ('Pre', ''), ('N', '')]",,PRE,86,C/(e)\
