wd_id,line_id,linewd,word,lex_id,old_wd_id,chapter_id,syntag,syntag2,lemma,syllabified
144,34,2,fesoit,fesoit,611,5,Vfin,Vfin,faire,C/V\.'C/V\
145,34,3,ses,ses,612,5,Det,Det,son4,C/V\
146,34,4,prieres,prieres,613,5,N,N,,C/V\.'C/V\.C/e\
147,35,1,hommes,hommes,630,5,N,N,,'/V\.C/e\
148,35,2,et,et,631,5,Crd,Crd,et,/V\
149,35,3,femmes,femmes,632,5,N,N,,'C/V\.C/e\
150,35,4,",",",",633,5,Pnc,Pnc,,
151,35,5,clers,clers,634,5,N,N,,C/V\
152,36,1,et,et,631,5,Crd,Crd,et,/V\
153,36,2,femmes,femmes,632,5,N,N,,'C/V\.C/e\
154,36,3,",",",",633,5,Pnc,Pnc,,
155,36,4,clers,clers,634,5,N,N,,C/V\
156,36,5,et,et,635,5,Crd,Crd,et,/V\
157,36,6,lais,lais,636,5,Adj,Adj,lai,C/V\
158,37,1,que,que,640,5,Sub,Sub,que,C/(e)\
159,37,2,la,la,641,5,Det,Det,le,C/V\
160,37,3,dite,dite,642,5,Vpp,Vpp,dire,'C/V\.C/(e)\
161,37,4,amelot,amelot,643,5,N,N,,/V\.C/e\.'C/V\
162,38,1,du,du,651,5,Pre+Det,Pre+Det,de.le,C/V\
163,38,2,benoiet,benoiet,652,5,Adj,Adj,,C/V\.C/V\.'C/V\
164,38,3,saint,saint,653,5,Adj,Adj,saint,C/V\
165,38,4,loys,loys,654,5,N,N,,C/V\
166,39,1,a,a,668,6,Pre,Pre,à,/V\
167,39,2,jehan,jehan,669,6,N,N,,C/(V)\.'/V\
168,39,3,le,le,670,6,Det,Det,le,C/(e)\
169,39,4,bouchier,bouchier,671,6,N,N,,C/V\.'C/V\
170,40,1,qui,qui,683,6,Qux,Qux,qui,C/V\
171,40,2,avoit,avoit,684,6,Vfin,Vfin,avoir,/V\.'C/V\
172,40,3,non,non,685,6,N,N,,C/V\
173,40,4,marote,marote,686,6,N,N,,C/V\.'C/V\.C/(e)\
174,41,1,en,en,696,6,Pre,Pre,en,/V\
175,41,2,l,l',697,6,Det,Det,le,C/\
176,41,3,an,an,698,6,N,N,,/V\
